hidden_layers,step_size,epoch,set_name,loss
3,0.01,28,subtrain,0.5845976173877716
3,0.01,28,validation,0.5870707631111145
3,0.01,29,subtrain,0.5742205679416656
3,0.01,29,validation,0.5768595635890961
3,0.01,30,subtrain,0.5627780556678772
3,0.01,30,validation,0.5656443536281586
3,0.01,31,subtrain,0.5500786006450653
3,0.01,31,validation,0.5531629920005798
3,0.01,32,subtrain,0.536253422498703
3,0.01,32,validation,0.5395567417144775
3,0.01,33,subtrain,0.521462693810463
3,0.01,33,validation,0.5249998271465302
3,0.01,34,subtrain,0.5057306289672852
3,0.01,34,validation,0.5095061808824539
3,0.01,35,subtrain,0.4891181886196136
3,0.01,35,validation,0.4931156188249588
3,0.01,36,subtrain,0.4719453901052475
3,0.01,36,validation,0.4762031584978103
3,0.01,37,subtrain,0.4543363004922867
3,0.01,37,validation,0.4588284641504287
3,0.01,38,subtrain,0.4368003606796264
3,0.01,38,validation,0.4415801763534546
3,0.01,39,subtrain,0.419293463230133
3,0.01,39,validation,0.4243863523006439
3,0.01,40,subtrain,0.4021964818239212
3,0.01,40,validation,0.407622218132019
3,0.01,41,subtrain,0.3857520818710327
3,0.01,41,validation,0.3915372937917709
3,0.01,42,subtrain,0.3701193928718567
3,0.01,42,validation,0.3762980997562408
3,0.01,43,subtrain,0.3555518835783005
3,0.01,43,validation,0.362160176038742
3,0.01,44,subtrain,0.3421660959720611
3,0.01,44,validation,0.3492238074541092
3,0.01,45,subtrain,0.3298349976539612
3,0.01,45,validation,0.3373882174491882
3,0.01,46,subtrain,0.3184451162815094
3,0.01,46,validation,0.3265362232923507
3,0.01,47,subtrain,0.3081255853176117
3,0.01,47,validation,0.3167744278907776
3,0.01,48,subtrain,0.2988572418689728
3,0.01,48,validation,0.3080849647521972
3,0.01,49,subtrain,0.2902392297983169
3,0.01,49,validation,0.3001200258731842
3,0.01,50,subtrain,0.2825446277856827
3,0.01,50,validation,0.2930600196123123
3,0.01,51,subtrain,0.2752325385808944
3,0.01,51,validation,0.2864704430103302
3,0.01,52,subtrain,0.2685400694608688
3,0.01,52,validation,0.2805905342102051
3,0.01,53,subtrain,0.2625176757574081
3,0.01,53,validation,0.2752941697835922
3,0.01,54,subtrain,0.2569093257188797
3,0.01,54,validation,0.2704529762268066
3,0.01,55,subtrain,0.2518312260508537
3,0.01,55,validation,0.2661394327878952
3,0.01,56,subtrain,0.2471691891551017
3,0.01,56,validation,0.2622599154710769
3,0.01,57,subtrain,0.2429716885089874
3,0.01,57,validation,0.2588138878345489
3,0.01,58,subtrain,0.238982543349266
3,0.01,58,validation,0.2555983364582062
3,0.01,59,subtrain,0.2353025078773498
3,0.01,59,validation,0.2527158558368683
3,0.01,60,subtrain,0.2318875715136528
3,0.01,60,validation,0.2501254677772522
3,0.01,61,subtrain,0.2286494225263595
3,0.01,61,validation,0.2476935759186744
3,0.01,62,subtrain,0.2256172746419906
3,0.01,62,validation,0.2454493567347526
3,0.01,63,subtrain,0.2227391377091407
3,0.01,63,validation,0.2434151023626327
3,0.01,64,subtrain,0.2200168743729591
3,0.01,64,validation,0.2415656745433807
3,0.01,65,subtrain,0.2174956277012825
3,0.01,65,validation,0.2397502437233925
3,0.01,66,subtrain,0.2150492072105407
3,0.01,66,validation,0.238125205039978
3,0.01,67,subtrain,0.212704949080944
3,0.01,67,validation,0.2365405783057212
3,0.01,68,subtrain,0.2105034738779068
3,0.01,68,validation,0.2350591570138931
3,0.01,69,subtrain,0.2083611488342285
3,0.01,69,validation,0.2337818965315818
3,0.01,70,subtrain,0.2062682211399078
3,0.01,70,validation,0.2324371039867401
3,0.01,71,subtrain,0.2042461633682251
3,0.01,71,validation,0.2312073484063148
3,0.01,72,subtrain,0.2023190408945083
3,0.01,72,validation,0.2300049886107444
3,0.01,73,subtrain,0.2004553005099296
3,0.01,73,validation,0.228905901312828
3,0.01,74,subtrain,0.1986055523157119
3,0.01,74,validation,0.227790780365467
3,0.01,75,subtrain,0.1968652084469795
3,0.01,75,validation,0.2266701832413673
